Empty,100_Grand_Bar,Anonymous_brown_globs_that_come_in_black_and_orange_wrappers,Any_full-sized_candy_bar,Black_Jacks,Bonkers,Bottle_Caps,Broken_glow_stick,Cadbury_Creme_Eggs,Candy_Corn,Candy_that_is_clearly_just_the_stuff_given_out_for_free_at_restaurants,Caramellos,"Cash,_or_other_forms_of_legal_tender",Chiclets,Creepy_Religious_comics/Chick_Tracts,Dental_paraphenalia,Dots,Fuzzy_Peaches,Generic_Brand_Acetaminophen,Glow_sticks,Goo_Goo_Clusters,Good_N'_Plenty,Gum_from_baseball_cards,Gummy_Bears_straight_up,Hard_Candy,Healthy_Fruit,Heath_Bar,Hugs_(actual_physical_hugs),Jolly_Rancher_(bad_flavor),Jolly_Ranchers_(good_flavor),Junior_Mints,Senior_Mints,Kale_smoothie,Kinder_Happy_Hippo,Kit_Kat,LaffyTaffy,LemonHeads,Licorice_(not_black),Lindt_Truffle,Lollipops,Maynards,Milk_Duds,Milky_Way,Regular_M&Ms,Minibags_of_chips,Mint_Kisses,Mint_Juleps,Nerds,Nestle_Crunch,Now'n'Laters,Pencils,Pixy_Stix,Reggie_Jackson_Bar,Rolos,Skittles,Smarties_(American),Smarties_(Commonwealth),Snickers,Spotted_Dick,Starburst,Swedish_Fish,Those_odd_marshmallow_circus_peanut_things,Three_Musketeers,Tolberone_something_or_other,Trail_Mix,Twix,Vicodin,White_Bread,Whole_Wheat_anything,York_Peppermint_Patties
1,JOY,DESPAIR,JOY,JOY,JOY,MEH,DESPAIR,MEH,MEH,DESPAIR,JOY,JOY,MEH,DESPAIR,DESPAIR,MEH,JOY,DESPAIR,DESPAIR,MEH,MEH,DESPAIR,MEH,MEH,MEH,JOY,MEH,DESPAIR,DESPAIR,MEH,MEH,DESPAIR,MEH,JOY,JOY,MEH,MEH,JOY,MEH,MEH,MEH,MEH,JOY,JOY,MEH,JOY,MEH,JOY,JOY,DESPAIR,MEH,MEH,JOY,MEH,MEH,MEH,JOY,DESPAIR,JOY,JOY,MEH,JOY,JOY,MEH,JOY,MEH,DESPAIR,MEH,MEH
1,MEH,DESPAIR,MEH,DESPAIR,DESPAIR,DESPAIR,DESPAIR,MEH,DESPAIR,DESPAIR,MEH,JOY,MEH,DESPAIR,DESPAIR,MEH,DESPAIR,DESPAIR,MEH,MEH,DESPAIR,DESPAIR,MEH,DESPAIR,MEH,MEH,MEH,DESPAIR,DESPAIR,JOY,DESPAIR,MEH,MEH,MEH,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,MEH,MEH,MEH,DESPAIR,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,MEH,MEH,DESPAIR,MEH,MEH,JOY,MEH,DESPAIR,MEH,MEH,MEH,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,JOY
1,MEH,DESPAIR,JOY,,,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,JOY,JOY,JOY,DESPAIR,DESPAIR,MEH,DESPAIR,MEH,,MEH,MEH,MEH,DESPAIR,DESPAIR,MEH,MEH,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,JOY,MEH,DESPAIR,,MEH,JOY,MEH,JOY,JOY,JOY,MEH,MEH,,MEH,MEH,,JOY,DESPAIR,DESPAIR,JOY,JOY,MEH,DESPAIR,MEH,JOY,JOY,JOY,MEH,JOY,MEH,DESPAIR,DESPAIR,JOY
1,MEH,DESPAIR,MEH,DESPAIR,DESPAIR,MEH,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,JOY,JOY,DESPAIR,MEH,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,JOY,DESPAIR,JOY,JOY,JOY,JOY,JOY,JOY,DESPAIR,JOY,JOY,JOY,DESPAIR,DESPAIR,JOY,JOY,JOY,JOY,DESPAIR,JOY,JOY,JOY,DESPAIR,JOY,JOY,DESPAIR,JOY,DESPAIR,JOY,JOY,JOY,DESPAIR,MEH,JOY,JOY,JOY,JOY,JOY,JOY,JOY,DESPAIR,JOY,JOY
1,MEH,DESPAIR,MEH,MEH,MEH,JOY,DESPAIR,MEH,MEH,DESPAIR,DESPAIR,DESPAIR,MEH,MEH,MEH,MEH,MEH,DESPAIR,DESPAIR,DESPAIR,MEH,DESPAIR,DESPAIR,MEH,MEH,JOY,DESPAIR,MEH,MEH,JOY,DESPAIR,DESPAIR,DESPAIR,MEH,MEH,JOY,DESPAIR,MEH,MEH,MEH,MEH,MEH,JOY,MEH,MEH,DESPAIR,JOY,MEH,MEH,DESPAIR,MEH,MEH,MEH,MEH,JOY,JOY,JOY,DESPAIR,MEH,JOY,DESPAIR,MEH,MEH,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,JOY
1,MEH,DESPAIR,JOY,MEH,MEH,JOY,DESPAIR,JOY,JOY,DESPAIR,MEH,JOY,DESPAIR,DESPAIR,DESPAIR,MEH,MEH,DESPAIR,MEH,MEH,,DESPAIR,MEH,MEH,DESPAIR,JOY,DESPAIR,DESPAIR,MEH,MEH,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,MEH,DESPAIR,MEH,JOY,JOY,MEH,MEH,DESPAIR,MEH,MEH,DESPAIR,MEH,MEH,DESPAIR,MEH,MEH,JOY,DESPAIR,MEH,DESPAIR,MEH,JOY,DESPAIR,JOY,MEH,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,JOY
1,JOY,DESPAIR,MEH,,MEH,DESPAIR,DESPAIR,DESPAIR,DESPAIR,MEH,JOY,MEH,MEH,JOY,JOY,MEH,,DESPAIR,JOY,,MEH,DESPAIR,JOY,MEH,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,JOY,MEH,JOY,JOY,JOY,DESPAIR,JOY,JOY,JOY,MEH,,JOY,MEH,DESPAIR,JOY,MEH,JOY,DESPAIR,JOY,DESPAIR,JOY,,,JOY,JOY,DESPAIR,MEH,JOY,DESPAIR,JOY,JOY,DESPAIR,MEH,JOY,JOY,JOY,DESPAIR,DESPAIR,JOY,JOY
1,,DESPAIR,JOY,,,MEH,DESPAIR,JOY,DESPAIR,DESPAIR,,,MEH,DESPAIR,DESPAIR,,MEH,,JOY,,,,,,DESPAIR,,JOY,,,,,,,JOY,MEH,,,,,,,,JOY,,,,JOY,JOY,,,,,JOY,MEH,DESPAIR,JOY,JOY,,MEH,MEH,,JOY,JOY,,JOY,,,,
1,MEH,DESPAIR,JOY,DESPAIR,DESPAIR,MEH,DESPAIR,DESPAIR,DESPAIR,DESPAIR,MEH,MEH,MEH,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,MEH,MEH,MEH,JOY,DESPAIR,DESPAIR,MEH,MEH,DESPAIR,DESPAIR,DESPAIR,JOY,MEH,MEH,MEH,MEH,MEH,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,MEH,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,MEH,JOY,MEH,JOY,JOY,MEH,JOY,DESPAIR,MEH,MEH,DESPAIR,JOY,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,JOY
1,MEH,DESPAIR,MEH,JOY,MEH,JOY,DESPAIR,DESPAIR,MEH,DESPAIR,MEH,MEH,MEH,JOY,JOY,MEH,JOY,MEH,JOY,JOY,JOY,MEH,JOY,MEH,MEH,JOY,JOY,MEH,MEH,MEH,JOY,DESPAIR,DESPAIR,JOY,MEH,DESPAIR,MEH,MEH,MEH,,MEH,MEH,MEH,JOY,MEH,JOY,MEH,JOY,JOY,JOY,MEH,MEH,MEH,JOY,JOY,JOY,MEH,MEH,JOY,JOY,DESPAIR,MEH,MEH,MEH,JOY,JOY,MEH,DESPAIR,MEH
1,JOY,DESPAIR,JOY,MEH,MEH,JOY,DESPAIR,MEH,JOY,MEH,JOY,JOY,MEH,MEH,MEH,MEH,MEH,MEH,JOY,JOY,MEH,MEH,DESPAIR,MEH,MEH,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,MEH,JOY,JOY,DESPAIR,DESPAIR,JOY,MEH,MEH,MEH,MEH,MEH,MEH,MEH,JOY,JOY,MEH,JOY,DESPAIR,MEH,DESPAIR,JOY,JOY,MEH,MEH,JOY,JOY,JOY,MEH,DESPAIR,JOY,JOY,MEH,MEH,MEH,MEH,DESPAIR,DESPAIR,JOY
1,MEH,DESPAIR,JOY,MEH,MEH,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,MEH,JOY,MEH,JOY,MEH,MEH,JOY,MEH,JOY,MEH,DESPAIR,DESPAIR,MEH,DESPAIR,MEH,MEH,DESPAIR,DESPAIR,MEH,JOY,MEH,JOY,MEH,JOY,MEH,JOY,DESPAIR,MEH,MEH,JOY,MEH,MEH,MEH,JOY,MEH,DESPAIR,MEH,DESPAIR,DESPAIR,MEH,MEH,MEH,MEH,MEH,MEH,MEH,JOY,MEH,JOY,JOY,DESPAIR,MEH,MEH,MEH,MEH,DESPAIR,DESPAIR,DESPAIR,MEH
1,MEH,DESPAIR,JOY,DESPAIR,MEH,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,MEH,MEH,DESPAIR,DESPAIR,MEH,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,MEH,JOY,JOY,DESPAIR,JOY,DESPAIR,MEH,JOY,JOY,MEH,DESPAIR,MEH,DESPAIR,MEH,JOY,JOY,JOY,JOY,MEH,JOY,JOY,MEH,DESPAIR,DESPAIR,JOY,JOY,MEH,JOY,DESPAIR,JOY,MEH,JOY,JOY,JOY,MEH,JOY,DESPAIR,JOY,JOY,DESPAIR,JOY,JOY,MEH,JOY,DESPAIR,DESPAIR,DESPAIR,JOY
1,MEH,DESPAIR,JOY,DESPAIR,DESPAIR,MEH,DESPAIR,JOY,,DESPAIR,MEH,MEH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEH,,,,,DESPAIR,,,,,,,,,,DESPAIR,,JOY,DESPAIR,,JOY,JOY,JOY,DESPAIR,DESPAIR,JOY,JOY
1,,,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,MEH,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,,DESPAIR,DESPAIR,DESPAIR,MEH,MEH,DESPAIR,DESPAIR,MEH,DESPAIR,DESPAIR,DESPAIR,DESPAIR,,DESPAIR,DESPAIR,MEH,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,MEH,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,MEH,MEH,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,MEH,MEH,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY
1,MEH,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,MEH,DESPAIR,MEH,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,MEH,DESPAIR,MEH,DESPAIR,MEH,MEH,DESPAIR,JOY,DESPAIR,MEH,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,MEH,MEH,JOY,JOY,MEH,DESPAIR,MEH,JOY,MEH,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,MEH,DESPAIR,DESPAIR,DESPAIR,MEH,JOY,DESPAIR,MEH,JOY,DESPAIR,JOY,MEH,DESPAIR,JOY,JOY,DESPAIR,JOY,DESPAIR,JOY,DESPAIR,MEH
1,MEH,DESPAIR,JOY,DESPAIR,DESPAIR,MEH,DESPAIR,MEH,DESPAIR,MEH,MEH,JOY,DESPAIR,DESPAIR,JOY,JOY,MEH,DESPAIR,MEH,MEH,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,JOY,DESPAIR,DESPAIR,MEH,DESPAIR,JOY,JOY,MEH,MEH,MEH,MEH,JOY,MEH,MEH,MEH,MEH,JOY,MEH,MEH,JOY,DESPAIR,MEH,DESPAIR,JOY,MEH,MEH,MEH,DESPAIR,JOY,JOY,JOY,DESPAIR,MEH,MEH,DESPAIR,JOY,JOY,JOY,MEH,JOY,DESPAIR,JOY,JOY
1,MEH,DESPAIR,JOY,DESPAIR,DESPAIR,MEH,DESPAIR,DESPAIR,DESPAIR,DESPAIR,MEH,JOY,DESPAIR,MEH,DESPAIR,DESPAIR,DESPAIR,MEH,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,MEH,DESPAIR,DESPAIR,DESPAIR,MEH,DESPAIR,DESPAIR,DESPAIR,,JOY,DESPAIR,DESPAIR,MEH,,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,MEH,MEH,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,MEH,DESPAIR
1,MEH,MEH,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,MEH,DESPAIR,DESPAIR,MEH,JOY,MEH,DESPAIR,DESPAIR,DESPAIR,DESPAIR,MEH,JOY,JOY,DESPAIR,DESPAIR,JOY,MEH,DESPAIR,MEH,MEH,DESPAIR,JOY,JOY,MEH,DESPAIR,DESPAIR,JOY,MEH,MEH,DESPAIR,JOY,JOY,MEH,MEH,JOY,JOY,DESPAIR,DESPAIR,MEH,MEH,JOY,JOY,DESPAIR,MEH,MEH,DESPAIR,DESPAIR,MEH,MEH,JOY,DESPAIR,MEH,JOY,DESPAIR,JOY,MEH,DESPAIR,JOY,MEH,DESPAIR,DESPAIR,JOY
1,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,MEH,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,MEH,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,MEH,MEH,MEH,JOY,MEH,MEH,JOY,JOY,DESPAIR,DESPAIR,MEH,JOY,MEH,MEH,MEH,JOY,MEH,DESPAIR,DESPAIR,JOY,JOY,MEH,JOY,JOY,MEH,JOY,DESPAIR,MEH,MEH,MEH,DESPAIR,JOY,MEH,MEH,JOY,DESPAIR,MEH,JOY,DESPAIR,JOY,MEH,MEH,JOY,DESPAIR,DESPAIR,DESPAIR,JOY
1,,DESPAIR,MEH,,,,DESPAIR,JOY,JOY,DESPAIR,MEH,JOY,MEH,JOY,MEH,MEH,DESPAIR,DESPAIR,JOY,MEH,,DESPAIR,DESPAIR,MEH,DESPAIR,MEH,DESPAIR,MEH,JOY,MEH,MEH,DESPAIR,,JOY,MEH,DESPAIR,JOY,MEH,DESPAIR,,MEH,MEH,JOY,MEH,MEH,,MEH,JOY,,MEH,DESPAIR,,MEH,MEH,JOY,,JOY,DESPAIR,MEH,,DESPAIR,DESPAIR,,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,MEH
1,JOY,MEH,JOY,DESPAIR,MEH,MEH,DESPAIR,MEH,MEH,MEH,JOY,JOY,MEH,DESPAIR,DESPAIR,DESPAIR,MEH,MEH,JOY,JOY,MEH,DESPAIR,MEH,MEH,MEH,JOY,MEH,DESPAIR,JOY,MEH,MEH,DESPAIR,MEH,JOY,MEH,JOY,MEH,JOY,MEH,MEH,JOY,JOY,MEH,MEH,MEH,JOY,MEH,MEH,MEH,MEH,MEH,MEH,JOY,MEH,MEH,MEH,JOY,MEH,MEH,MEH,MEH,MEH,JOY,MEH,JOY,JOY,MEH,DESPAIR,MEH
1,MEH,DESPAIR,JOY,MEH,MEH,JOY,DESPAIR,DESPAIR,MEH,DESPAIR,MEH,JOY,MEH,JOY,DESPAIR,JOY,MEH,DESPAIR,JOY,MEH,JOY,DESPAIR,JOY,JOY,MEH,JOY,JOY,MEH,JOY,DESPAIR,DESPAIR,DESPAIR,MEH,JOY,JOY,JOY,JOY,JOY,JOY,MEH,JOY,JOY,JOY,JOY,DESPAIR,JOY,JOY,JOY,MEH,DESPAIR,JOY,MEH,JOY,JOY,JOY,MEH,JOY,DESPAIR,JOY,JOY,MEH,JOY,JOY,MEH,JOY,JOY,DESPAIR,DESPAIR,DESPAIR
1,JOY,JOY,JOY,JOY,DESPAIR,MEH,DESPAIR,DESPAIR,JOY,MEH,MEH,MEH,MEH,DESPAIR,DESPAIR,MEH,MEH,MEH,JOY,DESPAIR,JOY,MEH,MEH,MEH,DESPAIR,JOY,MEH,JOY,JOY,JOY,DESPAIR,MEH,DESPAIR,JOY,MEH,JOY,JOY,JOY,JOY,DESPAIR,JOY,JOY,JOY,MEH,MEH,MEH,MEH,MEH,MEH,JOY,JOY,JOY,JOY,JOY,JOY,MEH,JOY,DESPAIR,JOY,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,JOY
1,MEH,DESPAIR,JOY,MEH,DESPAIR,JOY,DESPAIR,MEH,JOY,DESPAIR,MEH,JOY,MEH,JOY,DESPAIR,MEH,MEH,DESPAIR,JOY,MEH,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,MEH,JOY,DESPAIR,MEH,MEH,DESPAIR,DESPAIR,DESPAIR,MEH,DESPAIR,MEH,MEH,DESPAIR,DESPAIR,DESPAIR,MEH,MEH,DESPAIR,DESPAIR,MEH,JOY,MEH,MEH,DESPAIR,DESPAIR,MEH,DESPAIR,MEH,MEH,MEH,MEH,MEH,DESPAIR,MEH,JOY,DESPAIR,MEH,MEH,DESPAIR,MEH,JOY,DESPAIR,DESPAIR,JOY
1,MEH,DESPAIR,JOY,JOY,MEH,JOY,DESPAIR,JOY,JOY,MEH,JOY,JOY,MEH,DESPAIR,DESPAIR,JOY,DESPAIR,MEH,JOY,DESPAIR,MEH,MEH,JOY,JOY,MEH,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,MEH,MEH,JOY,MEH,DESPAIR,JOY,JOY,JOY,DESPAIR,JOY,JOY,JOY,DESPAIR,JOY,JOY,MEH,JOY,DESPAIR,MEH,MEH,DESPAIR,JOY,JOY,DESPAIR,JOY,JOY,JOY,DESPAIR,JOY,DESPAIR,JOY,JOY,MEH,JOY,JOY,DESPAIR,MEH,JOY
1,MEH,DESPAIR,MEH,MEH,MEH,JOY,DESPAIR,MEH,DESPAIR,DESPAIR,MEH,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,MEH,JOY,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,MEH,MEH,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,MEH,DESPAIR,MEH,MEH,MEH,DESPAIR,DESPAIR,DESPAIR,MEH,MEH,MEH,MEH,JOY,JOY,MEH,JOY,MEH,JOY,DESPAIR,DESPAIR,MEH,JOY,JOY,MEH,DESPAIR,MEH,MEH,DESPAIR,MEH,JOY,JOY,JOY,JOY,DESPAIR,DESPAIR,JOY
